SHAPE,FROM CTS,TO CTS,COLOR,CLARITY,CUT,PRICE,DATE
RO,0.15,0.17,H,VVS2,EX,1050, 8/30/2024
RO,0.15,0.17,H,VS1,EX,960, 8/30/2024
RO,0.15,0.17,H,VS2,EX,960, 8/30/2024
RO,0.15,0.17,H,SI1,EX,870, 8/30/2024
RO,0.15,0.17,H,SI2,EX,770, 8/30/2024
RO,0.15,0.17,H,SI3,EX,680, 8/30/2024
RO,0.15,0.17,H,I1,EX,570, 8/30/2024
RO,0.15,0.17,H,I2,EX,470, 8/30/2024
RO,0.15,0.17,H,I3,EX,400, 8/30/2024
RO,0.15,0.17,I,IF,EX,920, 8/30/2024
RO,0.15,0.17,I,VVS1,EX,920, 8/30/2024
RO,0.15,0.17,I,VVS2,EX,920, 8/30/2024
RO,0.15,0.17,I,VS1,EX,840, 8/30/2024
RO,0.15,0.17,I,VS2,EX,840, 8/30/2024
RO,0.15,0.17,I,SI1,EX,760, 8/30/2024
RO,0.15,0.17,I,SI2,EX,670, 8/30/2024
RO,0.15,0.17,I,SI3,EX,590, 8/30/2024
RO,0.15,0.17,I,I1,EX,520, 8/30/2024
RO,0.15,0.17,I,I2,EX,430, 8/30/2024
RO,0.15,0.17,I,I3,EX,360, 8/30/2024
RO,0.15,0.17,J,IF,EX,920, 8/30/2024
RO,0.15,0.17,J,VVS1,EX,920, 8/30/2024
RO,0.15,0.17,J,VVS2,EX,920, 8/30/2024
RO,0.15,0.17,J,VS1,EX,840, 8/30/2024
RO,0.15,0.17,J,VS2,EX,840, 8/30/2024
RO,0.15,0.17,J,SI1,EX,760, 8/30/2024
RO,0.15,0.17,J,SI2,EX,670, 8/30/2024
RO,0.15,0.17,J,SI3,EX,590, 8/30/2024
RO,0.15,0.17,J,I1,EX,520, 8/30/2024
RO,0.15,0.17,J,I2,EX,430, 8/30/2024
RO,0.15,0.17,J,I3,EX,360, 8/30/2024
RO,0.15,0.17,K,IF,EX,730, 8/30/2024
RO,0.15,0.17,K,VVS1,EX,730, 8/30/2024
RO,0.15,0.17,K,VVS2,EX,730, 8/30/2024
RO,0.15,0.17,K,VS1,EX,650, 8/30/2024
RO,0.15,0.17,K,VS2,EX,650, 8/30/2024
RO,0.15,0.17,K,SI1,EX,560, 8/30/2024
RO,0.15,0.17,K,SI2,EX,480, 8/30/2024
RO,0.15,0.17,K,SI3,EX,430, 8/30/2024
RO,0.15,0.17,K,I1,EX,370, 8/30/2024
RO,0.15,0.17,K,I2,EX,310, 8/30/2024
RO,0.15,0.17,K,I3,EX,260, 8/30/2024
RO,0.15,0.17,L,IF,EX,730, 8/30/2024
RO,0.15,0.17,L,VVS1,EX,730, 8/30/2024
RO,0.15,0.17,L,VVS2,EX,730, 8/30/2024
RO,0.15,0.17,L,VS1,EX,650, 8/30/2024
RO,0.15,0.17,L,VS2,EX,650, 8/30/2024
